Date,Open,High,Low,Close,Adj Close,Volume
2024-12-13,247.820007,249.289993,246.240005,248.130005,247.012817,33155300
2024-12-16,247.990005,251.380005,247.649994,251.039993,249.909698,51694800
2024-12-17,250.080002,253.830002,249.779999,253.479996,252.338730,51356400
2024-12-18,252.160004,254.279999,247.740005,248.050003,246.933182,56774100
2024-12-19,247.500000,252.000000,247.089996,249.789993,248.665344,60882300
2024-12-20,248.039993,255.000000,245.690002,254.490005,253.344208,147495300
2024-12-23,254.770004,255.649994,253.449997,255.270004,254.120682,40858800
2024-12-24,255.490005,258.209991,255.289993,258.200012,257.037476,23234700
2024-12-26,258.190002,260.100006,257.630005,259.019989,257.853760,27237100
2024-12-27,257.829987,258.700012,253.059998,255.589996,254.439240,42355300
2024-12-30,252.229996,253.500000,250.750000,252.199997,251.064514,35557500
2024-12-31,252.440002,253.279999,249.429993,250.419998,249.292511,39480700
2025-01-02,248.929993,249.100006,241.820007,243.850006,242.752106,55740700
2025-01-03,243.360001,244.179993,241.889999,243.360001,242.264297,40244100
2025-01-06,244.309998,247.330002,243.199997,245.000000,243.896927,45045600
2025-01-07,242.979996,245.550003,241.350006,242.210007,241.119492,40856000
2025-01-08,241.919998,243.710007,240.050003,242.699997,241.607269,37628900
2025-01-10,240.009995,240.160004,233.000000,236.850006,235.783615,61710900
2025-01-13,233.529999,234.669998,229.720001,234.399994,233.344620,49630700
2025-01-14,234.750000,236.119995,232.470001,233.279999,232.229660,39435300
2025-01-15,234.639999,238.960007,234.429993,237.869995,236.799011,39832000
2025-01-16,237.350006,238.009995,228.029999,228.259995,227.232285,71759100
2025-01-17,232.119995,232.289993,228.479996,229.979996,228.944534,68488300
2025-01-21,224.000000,224.419998,219.380005,222.639999,221.637589,98070400
2025-01-22,219.789993,224.119995,219.789993,223.830002,222.822220,64126500
2025-01-23,224.740005,227.029999,222.300003,223.660004,222.653000,60234800
2025-01-24,224.779999,225.630005,221.410004,222.779999,221.776962,54697900
2025-01-27,224.020004,232.149994,223.979996,229.860001,228.825073,94863400
2025-01-28,230.850006,240.190002,230.809998,238.259995,237.187271,75707600
2025-01-29,234.119995,239.860001,234.009995,239.360001,238.282318,45486100
2025-01-30,238.669998,240.789993,237.210007,237.589996,236.520264,55658300
2025-01-31,247.190002,247.190002,233.440002,236.000000,234.937439,100959800
2025-02-03,229.990005,231.830002,225.699997,228.009995,226.983414,73063300
2025-02-04,227.250000,233.130005,226.649994,232.800003,231.751846,45067300
2025-02-05,228.529999,232.669998,228.270004,232.470001,231.423340,39620300
2025-02-06,231.289993,233.800003,230.429993,233.220001,232.169968,29925300
2025-02-07,232.600006,234.000000,227.259995,227.630005,226.605118,39707200
2025-02-10,229.570007,230.589996,227.199997,227.649994,226.874191,33115600
2025-02-11,228.199997,235.229996,228.130005,232.619995,231.827255,53718400
2025-02-12,231.199997,236.960007,230.679993,236.869995,236.062775,45243300
2025-02-13,236.910004,242.339996,235.570007,241.529999,240.706894,53614100
2025-02-14,241.250000,245.550003,240.990005,244.600006,243.766449,40896200
2025-02-18,244.149994,245.179993,241.839996,244.470001,243.636887,48822500
2025-02-19,244.660004,246.009995,243.160004,244.869995,244.035507,32204200
2025-02-20,244.940002,246.779999,244.289993,245.830002,244.992233,32316900
2025-02-21,245.949997,248.690002,245.220001,245.550003,244.713196,53197400
2025-02-24,244.929993,248.860001,244.419998,247.100006,246.257919,51326400
2025-02-25,248.000000,250.000000,244.910004,247.039993,246.198120,48013300
2025-02-26,244.330002,244.979996,239.130005,240.360001,239.540894,44433600
2025-02-27,239.410004,242.460007,237.059998,237.300003,236.491318,41153600
2025-02-28,236.949997,242.089996,230.199997,241.839996,241.015839,56833400
2025-03-03,241.789993,244.029999,236.110001,238.029999,237.218826,47184000
2025-03-04,237.710007,240.070007,234.679993,235.929993,235.125977,53798100
2025-03-05,235.419998,236.550003,229.229996,235.740005,234.936630,47227600
2025-03-06,234.440002,237.860001,233.160004,235.330002,234.528030,45170400
2025-03-07,235.110001,241.369995,234.759995,239.070007,238.255295,46273600
2025-03-10,235.539993,236.160004,224.220001,227.479996,226.704773,72071200
2025-03-11,223.809998,225.839996,217.449997,220.839996,220.087402,76137400
2025-03-12,220.139999,221.750000,214.910004,216.979996,216.240570,62547500
2025-03-13,215.949997,216.839996,208.419998,209.679993,208.965439,61368300
2025-03-14,211.250000,213.949997,209.580002,213.490005,212.762451,60107600
2025-03-17,213.309998,215.220001,209.970001,214.000000,213.270737,48073400
2025-03-18,214.160004,215.149994,211.490005,212.690002,211.965195,42432400
2025-03-19,214.220001,218.759995,213.750000,215.240005,214.506500,54385400
2025-03-20,213.990005,217.490005,212.220001,214.100006,213.370377,48862900
2025-03-21,211.559998,218.839996,211.279999,218.270004,217.526169,94127800
2025-03-24,221.000000,221.479996,218.580002,220.729996,219.977798,44299500
2025-03-25,220.770004,224.100006,220.080002,223.750000,222.987503,34493600
2025-03-26,223.509995,225.020004,220.470001,221.529999,220.775055,34466100
2025-03-27,221.389999,224.990005,220.559998,223.850006,223.087158,37094800
2025-03-28,221.669998,223.809998,217.679993,217.899994,217.157410,39818600
2025-03-31,217.009995,225.619995,216.229996,222.130005,221.373016,65299300
2025-04-01,219.809998,223.679993,218.899994,223.190002,222.429398,36412700
2025-04-02,221.320007,225.190002,221.020004,223.889999,223.127014,35905900
2025-04-03,205.539993,207.490005,201.250000,203.190002,202.497559,103419000
2025-04-04,193.889999,199.880005,187.339996,188.380005,187.738037,125910900
2025-04-07,177.199997,194.149994,174.619995,181.460007,180.841614,160466300
2025-04-08,186.699997,190.339996,169.210007,172.419998,171.832428,120859500
2025-04-09,171.949997,200.610001,171.889999,198.850006,198.172348,184395900
2025-04-10,189.070007,194.779999,183.000000,190.419998,189.771057,121880000
2025-04-11,186.100006,199.539993,186.059998,198.149994,197.474731,87435900
2025-04-14,211.440002,212.940002,201.160004,202.520004,201.829834,101352900
2025-04-15,201.860001,203.509995,199.800003,202.139999,201.451141,51343900
2025-04-16,198.360001,200.699997,192.369995,194.270004,193.607956,59732400
2025-04-17,197.199997,198.830002,194.419998,196.979996,196.308716,52164700
2025-04-21,193.270004,193.800003,189.809998,193.160004,192.501724,46742500
2025-04-22,196.119995,201.589996,195.970001,199.740005,199.059326,52976400
2025-04-23,206.000000,208.000000,202.800003,204.600006,203.902756,52929200
2025-04-24,204.889999,208.830002,202.940002,208.369995,207.659897,47311000
2025-04-25,206.369995,209.750000,206.199997,209.279999,208.566788,38222300
2025-04-28,210.000000,211.500000,207.460007,210.139999,209.423889,38743100
2025-04-29,208.690002,212.240005,208.369995,211.210007,210.490234,36827600
2025-04-30,209.300003,213.580002,206.669998,212.500000,211.775833,52286500
2025-05-01,209.080002,214.559998,208.899994,213.320007,212.593048,57365700
2025-05-02,206.089996,206.990005,202.160004,205.350006,204.650208,101010600
2025-05-05,203.100006,204.100006,198.210007,198.889999,198.212219,69018500
2025-05-06,198.210007,200.649994,197.020004,198.509995,197.833511,51216500
2025-05-07,199.169998,199.440002,193.250000,196.250000,195.581207,68536700
2025-05-08,197.720001,200.050003,194.679993,197.490005,196.816986,50478900
2025-05-09,199.000000,200.539993,197.539993,198.529999,197.853439,36453900
2025-05-12,210.970001,211.270004,206.750000,210.789993,210.347122,63775800
2025-05-13,210.429993,213.399994,209.000000,212.929993,212.482635,51909300
2025-05-14,212.429993,213.940002,210.580002,212.330002,211.883911,49325800
2025-05-15,210.949997,212.960007,209.539993,211.449997,211.005753,45029500
2025-05-16,212.360001,212.570007,209.770004,211.259995,210.816147,54737900
2025-05-19,207.910004,209.479996,204.259995,208.779999,208.341354,46140500
2025-05-20,207.669998,208.470001,205.029999,206.860001,206.425400,42496600
2025-05-21,205.169998,207.039993,200.710007,202.089996,201.665421,59211800
2025-05-22,200.710007,202.750000,199.699997,201.360001,200.936951,46742400
2025-05-23,193.669998,197.699997,193.460007,195.270004,194.859741,78432900
2025-05-27,198.300003,200.740005,197.429993,200.210007,199.789368,56288500
2025-05-28,200.589996,202.729996,199.899994,200.419998,199.998932,45339700
2025-05-29,203.580002,203.809998,198.509995,199.949997,199.529907,51396800
2025-05-30,199.369995,201.960007,196.779999,200.850006,200.428024,70819900
2025-06-02,200.279999,202.130005,200.119995,201.699997,201.276230,35423300
2025-06-03,201.350006,203.770004,200.960007,203.270004,202.842941,46381600
2025-06-04,202.910004,206.240005,202.100006,202.820007,202.393875,43604000
2025-06-05,203.500000,204.750000,200.149994,200.630005,200.208481,55126100
2025-06-06,203.000000,205.699997,202.050003,203.919998,203.491562,46607700
2025-06-09,204.389999,206.000000,200.020004,201.449997,201.026749,72862600
2025-06-10,200.600006,204.350006,200.570007,202.669998,202.244202,54672600
2025-06-11,203.500000,204.500000,198.410004,198.779999,198.362366,60989900
2025-06-12,199.080002,199.679993,197.360001,199.199997,198.781479,43904600
2025-06-13,199.729996,200.369995,195.699997,196.449997,196.037262,51447300
2025-06-16,197.300003,198.690002,196.559998,198.419998,198.003128,43020700
2025-06-17,197.199997,198.389999,195.210007,195.639999,195.228958,38856200
2025-06-18,195.940002,197.570007,195.070007,196.580002,196.166992,45394700
2025-06-20,198.240005,201.699997,196.860001,201.000000,200.577713,96813500
2025-06-23,201.630005,202.300003,198.960007,201.500000,201.076645,55814300
2025-06-24,202.589996,203.440002,200.199997,200.300003,199.879181,54064000
2025-06-25,201.449997,203.669998,200.619995,201.559998,201.136520,39525700
2025-06-26,201.429993,202.639999,199.460007,201.000000,200.577713,50799100
2025-06-27,201.889999,203.220001,200.000000,201.080002,200.657547,73188600
2025-06-30,202.009995,207.389999,199.259995,205.169998,204.738937,91912800
2025-07-01,206.669998,210.190002,206.139999,207.820007,207.383377,78788900
2025-07-02,208.910004,213.339996,208.139999,212.440002,211.993668,67941800
2025-07-03,212.149994,214.649994,211.809998,213.550003,213.101334,34955800
2025-07-07,212.679993,216.229996,208.800003,209.949997,209.508896,50229000
